iter	Passed	Remaining
561	37653	18625
562	37712	18554
563	37772	18484
564	37831	18413
565	37886	18340
566	37950	18272
567	38012	18203
568	38072	18132
569	38133	18063
570	38216	18003
571	38279	17935
572	38338	17864
573	38396	17793
574	38459	17724
575	38522	17656
576	38588	17588
577	38646	17517
578	38724	17455
579	38797	17391
580	38864	17325
581	38922	17254
582	38975	17181
583	39032	17110
584	39087	17037
585	39152	16970
586	39214	16901
587	39294	16840
588	39361	16773
589	39422	16704
590	39475	16631
591	39532	16560
592	39596	16492
593	39665	16426
594	39747	16366
595	39818	16301
596	39881	16233
597	39952	16167
598	40024	16103
599	40123	16049
600	40232	15999
601	40293	15929
602	40359	15862
603	40421	15793
604	40476	15722
605	40534	15651
606	40596	15583
607	40667	15517
608	40730	15449
609	40810	15387
610	40868	15317
611	40923	15245
612	40998	15182
613	41055	15111
614	41108	15039
615	41161	14967
616	41218	14897
617	41271	14825
618	41324	14754
619	41379	14682
620	41439	14613
621	41495	14543
622	41551	14472
623	41607	14402
624	41668	14334
625	41721	14262
626	41774	14191
627	41828	14120
628	41885	14050
629	41936	13978
630	41988	13907
631	42051	13839
632	42132	13777
633	42213	13715
634	42271	13646
635	42336	13579
636	42392	13509
637	42446	13439
638	42510	13371
639	42573	13304
640	42626	13233
641	42680	13163
642	42732	13092
643	42800	13026
644	42856	12956
645	42914	12887
646	42968	12817
647	43025	12748
648	43092	12682
649	43158	12615
650	43223	12548
651	43283	12480
652	43342	12411
653	43398	12342
654	43454	12273
655	43515	12205
656	43585	12140
657	43649	12073
658	43711	12005
659	43784	11941
660	43846	11873
661	43903	11804
662	43966	11737
663	44045	11674
664	44109	11607
665	44177	11541
666	44243	11475
667	44305	11407
668	44363	11339
669	44419	11270
670	44475	11201
671	44536	11134
672	44600	11067
673	44657	10998
674	44716	10930
675	44775	10862
676	44834	10794
677	44893	10726
678	44952	10658
679	45013	10591
680	45073	10523
681	45131	10455
682	45193	10388
683	45256	10321
684	45330	10257
685	45433	10199
686	45492	10131
687	45552	10063
688	45611	9996
689	45676	9929
690	45755	9866
691	45820	9799
692	45881	9732
693	45940	9664
694	45997	9596
695	46062	9530
696	46120	9462
697	46181	9395
698	46243	9327
699	46301	9260
700	46361	9192
701	46422	9125
702	46481	9058
703	46540	8990
704	46601	8923
705	46662	8856
706	46726	8790
707	46786	8722
708	46850	8656
709	46912	8589
710	46978	8523
711	47038	8456
712	47098	8389
713	47188	8327
714	47271	8264
715	47329	8196
716	47395	8130
717	47453	8063
718	47511	7995
719	47573	7928
720	47631	7861
721	47690	7794
722	47752	7727
723	47816	7661
724	47876	7594
725	47933	7526
726	47990	7459
727	48050	7392
728	48114	7326
729	48176	7259
730	48240	7193
731	48299	7126
732	48358	7059
733	48432	6994
734	48500	6928
735	48567	6862
736	48626	6795
737	48690	6729
738	48753	6663
739	48809	6595
740	48866	6528
741	48930	6462
742	48990	6395
743	49047	6328
744	49107	6262
745	49163	6194
746	49221	6128
747	49280	6061
748	49347	5995
749	49408	5929
750	49468	5862
751	49533	5796
752	49592	5729
753	49655	5663
754	49718	5597
755	49778	5530
756	49837	5464
757	49896	5397
758	49951	5330
759	50016	5264
760	50080	5198
761	50141	5132
762	50205	5066
763	50266	5000
764	50328	4934
765	50385	4867
766	50446	4801
767	50508	4735
768	50587	4670
769	50678	4607
770	50736	4540
771	50798	4474
772	50859	4408
773	50920	4342
774	50981	4275
775	51038	4209
776	51098	4143
777	51157	4076
778	51215	4010
779	51276	3944
780	51341	3878
781	51402	3812
782	51462	3746
783	51525	3680
784	51587	3614
785	51652	3548
786	51717	3482
787	51775	3416
788	51836	3350
789	51894	3284
790	51952	3218
791	52011	3152
792	52069	3086
793	52127	3019
794	52189	2954
795	52248	2888
796	52309	2822
797	52365	2756
798	52424	2690
799	52490	2624
800	52548	2558
801	52610	2492
802	52669	2426
803	52733	2361
804	52797	2295
805	52859	2229
806	52921	2164
807	52987	2098
808	53044	2032
809	53104	1966
810	53168	1901
811	53231	1835
812	53292	1769
813	53353	1704
814	53417	1638
815	53471	1572
816	53540	1507
817	53598	1441
818	53658	1375
819	53721	1310
820	53779	1244
821	53842	1179
822	53904	1113
823	53969	1047
824	54031	982
825	54088	916
826	54164	851
827	54222	785
828	54287	720
829	54350	654
830	54432	589
831	54502	524
832	54563	458
833	54621	392
834	54690	327
835	54749	261
836	54808	196
837	54871	130
838	54923	65
839	54976	0
